N,P,K,temperature,humidity,label,Region,Soil_Type,soil_moisture_range
90,42,43,20.87974371,82.00274423,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
85,58,41,21.77046169,80.31964408,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
60,55,44,23.00445915,82.3207629,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
74,35,40,26.49109635,80.15836264,rice,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(80, 100)"
78,42,42,20.13017482,81.60487287,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
69,37,42,23.05804872,83.37011772,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
69,55,38,22.70883798,82.63941394,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
94,53,40,20.27774362,82.89408619,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
89,54,38,24.51588066,83.5352163,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
68,58,38,23.22397386,83.03322691,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
91,53,40,26.52723513,81.41753846,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
90,46,42,23.97898217,81.45061596,rice,East Coast Plains & Hills,"['Red', 'Black Coastal Alluvium']","(80, 100)"
78,58,44,26.80079604,80.88684822,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
93,56,36,24.01497622,82.05687182,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
94,50,37,25.66585205,80.66385045,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
60,48,39,24.28209415,80.30025587,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
85,38,41,21.58711777,82.7883708,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
91,35,39,23.79391957,80.41817957,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
77,38,36,21.8652524,80.1923008,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
88,35,40,23.57943626,83.58760316,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
89,45,36,21.32504158,80.47476396,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
76,40,43,25.15745531,83.11713476,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
67,59,41,21.94766735,80.97384195,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
83,41,43,21.0525355,82.67839517,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
98,47,37,23.48381344,81.33265073,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
66,53,41,25.0756354,80.52389148,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
97,59,43,26.35927159,84.04403589,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
97,50,41,24.52922681,80.54498576,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
60,49,44,20.77576147,84.49774397,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
84,51,35,22.30157427,80.64416466,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
73,57,41,21.44653958,84.94375962,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
92,35,40,22.17931888,80.33127223,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
85,37,39,24.52783742,82.73685569,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
98,53,38,20.26707606,81.63895217,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
88,54,44,25.7354293,83.88266234,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
95,55,42,26.79533926,82.1480873,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
99,57,35,26.75754171,81.17734011,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
95,39,36,23.86330467,83.15250801,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
60,43,44,21.01944696,82.95221726,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
63,44,41,24.17298839,83.7287574,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
62,42,36,22.78133816,82.06719137,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
64,45,43,25.62980105,83.52842314,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
83,60,36,25.59704938,80.14509262,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
82,40,40,23.83067496,84.81360127,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
85,52,45,26.31355498,82.36698992,rice,East Coast Plains & Hills,"['Red', 'Black Coastal Alluvium']","(80, 100)"
91,35,38,24.8972823,80.52586088,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
76,49,42,24.958779,84.47963372,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
74,39,38,23.24113501,84.59201843,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
79,43,39,21.66628296,80.70960551,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
88,55,45,24.63544858,80.41363018,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
60,36,43,23.43121862,83.06310136,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
76,60,39,20.0454142,80.3477562,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
93,56,42,23.85724032,82.22572988,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
65,60,43,21.97199397,81.89918197,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
95,52,36,26.22916897,83.83625819,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
75,38,39,23.44676801,84.79352417,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
74,54,38,25.65553461,83.47021081,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
91,36,45,24.44345477,82.45432595,rice,East Coast Plains & Hills,"['Red', 'Black Coastal Alluvium']","(80, 100)"
71,46,40,20.2801937,82.1235421,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
99,55,35,21.7238313,80.2389895,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
72,40,38,20.41447029,82.20802629,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
83,58,45,25.75528612,83.51827127,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
93,58,38,20.61521424,83.77345559,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
